time,cycle number,marker,delc_var_det1_HbO2,delc_var_det1_HHb,delc_var_det1_ox-redCCO,delc_var_det1_HbT,delc_INvar_det1_HbO2,delc_INvar_det1_HHb,delc_INvar_det1_ox-redCCO,delc_INvar_det1_HbT,delc_var_det2_HbO2,delc_var_det2_HHb,delc_var_det2_ox-redCCO,delc_var_det2_HbT,delc_INvar_det2_HbO2,delc_INvar_det2_HHb,delc_INvar_det2_ox-redCCO,delc_INvar_det2_HbT,delc_INvar_det3_HbO2,delc_INvar_det3_HHb,delc_INvar_det3_ox-redCCO,delc_INvar_det3_HbT,delc_INvar_det4_HbO2,delc_INvar_det4_HHb,delc_INvar_det4_ox-redCCO,delc_INvar_det4_HbT,SRS kHbO2,SRS kHHb,SRS kHbT,SRS TOI,delc_var_det1_Hbdiff,delc_INvar_det1_Hbdiff,delc_var_det2_Hbdiff,delc_INvar_det2_Hbdiff,delc_INvar_det3_Hbdiff,delc_INvar_det4_Hbdiff,DPF 690,DPF 750,DPF 790,DPF 850,Us 690,Us 750,Us 790,Us 850,Ua 690,Ua 750,Ua 790,Ua 850,MDFD_abs_C_HbO2,MDFD_abs_C_HHb,MDFD_abs_C_HbT,MDFD_StO2,MDFD_delta_C_HbO2,MDFD_delta_C_HHb,MDFD_delta_C_HbT,time (s),TCD mean velocity,TCD mean BP,TCD mean SpO2,TCD mean maxCO2,TCD mean minCO2,TF mean maxO2,TF mean minO2,TF mean maxCO2,TF mean minCO2,HR (bpm),HR ,SpO2 ,RR ,etCO? ,imCO? ,FIO2 ,end of challenge
2400,911,0,0.074075928,0.840596562,-2.314123422,0.914672491,0.072569997,0.823452719,-2.266944042,0.896022716,-3.578982969,0.61970346,0.228823122,-2.959279508,-3.506013019,0.607071484,0.224156961,-2.898941535,-6.242243766,0.64671639,0.428697045,-5.595527376,-8.132207834,1.5406409,0.878485738,-6.591566934,3.696819109,1210.249619,1213.946438,0.003045273,-0.766520634,-0.750882722,-4.198686429,-4.113084503,-6.888960155,-9.672848734,9.687469085,6.883839846,8.002365538,16.39178428,7.254325022,6.369021257,5.921188569,11.86768801,0.057974487,0.10080311,0.069347799,0.033126372,-1.292431948,15.46792613,14.17549418,-9.117418082,4.839562908,-2.673272816,2.166290092,2400,43.17335873,63.48791605,96.82174442,4.412105996,0.033249076,20.81445617,14.33334806,4.485288109,0.167529224,80.47315869,74.60525227,99.19997404,0.001487836,4.500001549,0.199988779,0.21,
2403.2,912,0,-0.062744378,0.90777829,-2.395994689,0.845033912,-0.060368242,0.877694606,-2.313763079,0.817326364,-3.626923776,0.74427324,0.132587054,-2.882650536,-3.502365493,0.71826114,0.128388398,-2.784104353,-6.371376958,0.889090597,0.357728815,-5.482286361,-8.331151045,1.480153671,0.919558497,-6.850997374,3.418802478,1205.788107,1209.20691,0.002827373,-0.970522668,-0.938062849,-4.371197016,-4.220626633,-7.260467555,-9.811304715,9.691465569,6.999524627,7.888840932,16.52361062,7.381538245,6.497881655,5.976763833,12.24778701,0.058942736,0.099302484,0.072042132,0.033629119,-0.827473133,15.42907838,14.60160524,-5.690420222,5.304521722,-2.712120565,2.592401157,2403.2,40.83556182,63.34071641,96.70754647,4.431577128,0.032974683,20.81644641,14.31709282,4.561680952,0.132993423,78.72451254,72.72711248,99.31961939,-1.400767353,4.491453633,0.176166175,0.21,
2406.4,913,0,-0.077052034,0.722020623,-2.359494282,0.644968589,-0.074656123,0.692434956,-2.260376863,0.617778833,-3.548244676,0.717504709,0.095846976,-2.830739967,-3.399216795,0.687528778,0.091538994,-2.711688017,-6.169053073,0.871897745,0.264603108,-5.297155328,-8.048795689,1.367586305,0.817843731,-6.681209383,1.143211418,1207.255318,1208.39853,0.000954352,-0.799072657,-0.767091079,-4.265749385,-4.086745573,-7.040950819,-9.416381994,9.619660404,6.881529357,7.824528807,16.68079635,7.356905384,6.395802444,5.956726149,12.39090579,0.059630874,0.10135061,0.072960698,0.033408304,-0.872854983,15.71959581,14.84674083,-5.859694847,5.259139873,-2.421603132,2.837536741,2406.4,39.51910094,64.30201602,96.75896147,4.420546383,0.033078927,20.82217178,14.29822724,4.610105677,0.105616851,86.46422038,75.51876001,99.38560713,3.233141871,4.471910637,0.189378763,0.21,
2409.6,914,0,-0.063992624,0.456070134,-2.297027466,0.39207751,-0.062848282,0.437490528,-2.208303924,0.374642246,-3.503772794,0.587679848,0.101352455,-2.916092946,-3.369973817,0.564582964,0.097154055,-2.805390853,-5.985769779,0.609416416,0.188962949,-5.376353363,-7.83779823,1.235380947,0.663155128,-6.602417283,-0.357462608,1210.092268,1209.734806,-0.000284482,-0.520062758,-0.500338809,-4.091452642,-3.934556781,-6.595186195,-9.073179177,9.532728494,6.617997591,7.852791372,16.77910544,7.24164382,6.161209643,5.955691821,12.28345956,0.059775071,0.105790643,0.072433529,0.032745433,-1.22534008,16.16913719,14.94379711,-8.164249678,4.906654775,-1.972061756,2.93459302,2409.6,39.14363362,64.96372864,96.88228051,4.406993156,0.033613221,20.82331043,14.29507798,4.610827011,0.101346314,95.31899186,82.76372426,99.39677435,12.17369581,4.460370077,0.25994563,0.21,
2412.8,915,0,-0.139261712,0.424369241,-2.327988533,0.285107529,-0.136958669,0.414456946,-2.267192127,0.277498277,-3.614155161,0.525698631,0.092886889,-3.08845653,-3.520838302,0.512571344,0.08990946,-3.008266957,-6.192215394,0.364368805,0.183834838,-5.827846589,-8.265916227,1.157559572,0.640731681,-7.108356654,1.611052034,1208.495405,1210.106457,0.00133742,-0.563630952,-0.551415615,-4.139853792,-4.033409646,-6.556584199,-9.423475799,9.576842101,6.502490629,7.954427201,16.79913037,7.235885514,6.061932757,6.058401674,12.16895729,0.059174319,0.107769516,0.071800016,0.032346314,-1.351178462,16.2612413,14.91006284,-8.898105819,4.780816393,-1.879957643,2.900858751,2412.8,39.33426114,63.5340215,96.87497641,4.450191156,0.033688636,20.80981349,14.32999021,4.576952036,0.128702528,94.58946903,89.41412831,99.39941411,18.91283941,4.469634291,0.351869403,0.21,
2416,916,0,-0.190577957,0.592377224,-2.387691362,0.401799267,-0.187664751,0.582296631,-2.345398615,0.39463188,-3.669222917,0.597929952,0.058196236,-3.071292964,-3.604611223,0.587781378,0.056797739,-3.016829845,-6.440118607,0.360204172,0.233468751,-6.079914435,-8.767158094,1.178419364,0.755180531,-7.588738731,4.774468685,1205.305149,1210.079618,0.00394308,-0.782955181,-0.769961381,-4.267152869,-4.192392602,-6.800322779,-9.945577458,9.739791755,6.618326532,8.027290064,16.86457267,7.384195939,6.149302656,6.15260059,12.28454071,0.058355025,0.105508245,0.07158922,0.032371339,-1.186628656,15.92005305,14.7334244,-7.727907633,4.945366199,-2.221145891,2.724220308,2416,40.10622895,61.67333784,96.76010431,4.553502655,0.032583858,20.7857818,14.39717737,4.547976971,0.175608618,89.18350434,91.06518023,99.41646393,20.47791557,4.484432633,0.388668568,0.21,
2419.2,917,0,-0.052672702,0.682449175,-2.368492735,0.629776473,-0.054822262,0.666811224,-2.315975899,0.611988962,-3.476108802,0.700960757,0.034261154,-2.775148046,-3.402234006,0.684302105,0.033263128,-2.717931901,-6.249179162,0.563680927,0.272194861,-5.685498236,-8.524366124,1.306538832,0.838583388,-7.217827293,5.855618501,1205.051464,1210.907082,0.004829543,-0.735121877,-0.721633486,-4.177069559,-4.08653611,-6.812860089,-9.830904956,9.798765306,6.728605196,7.990277244,16.97360931,7.504670252,6.238030174,6.114653766,12.57545424,0.05862899,0.103476723,0.071830278,0.032731479,-1.040300478,15.75946209,14.71916161,-6.805948698,5.091694378,-2.38173685,2.709957528,2419.2,41.04425169,62.73105128,96.7595301,4.641386474,0.032405386,20.76514162,14.46855551,4.544169905,0.225477037,87.9786756,88.79247037,99.40125367,19.12316082,4.50204859,0.34323311,0.21,
2422.4,918,0,0.19285064,0.634132011,-2.310025906,0.826982652,0.182520966,0.613425044,-2.232077315,0.79594601,-3.198905269,0.717863678,0.047164874,-2.481041591,-3.094724899,0.693283906,0.045177618,-2.401440993,-5.81100942,0.766529267,0.275376263,-5.044480153,-7.768848315,1.506322492,0.79569447,-6.262525823,5.091663277,1206.397881,1211.489544,0.004195718,-0.441281371,-0.430904078,-3.916768947,-3.788008806,-6.577538687,-9.275170807,9.661072069,6.660616234,7.895164119,16.90549396,7.495604081,6.239297951,6.043625235,12.80159842,0.060304123,0.105690499,0.07275133,0.033674201,-0.897615703,16.1483612,15.2507455,-5.877364126,5.234379152,-1.992837738,3.241541414,2422.4,41.32084779,65.96043342,96.9261392,4.648291161,0.038073519,20.75724266,14.53746597,4.552261888,0.274077315,88.7879846,87.05563945,99.30363007,17.45334284,4.538837506,0.279560432,0.21,
2425.6,919,0,0.325381124,0.635165407,-2.301709883,0.960546531,0.311624053,0.612751636,-2.214439241,0.924375688,-3.071589375,0.67350629,0.076978495,-2.398083085,-2.956685686,0.648328319,0.073913162,-2.308357367,-5.586127881,0.834291867,0.277637211,-4.751836014,-7.295580531,1.674923117,0.714626977,-5.620657414,4.051569564,1206.859342,1210.910911,0.003335818,-0.309784283,-0.301127583,-3.745095664,-3.605014006,-6.420419748,-8.970503648,9.551413389,6.579274929,7.862440559,16.60256698,7.50412927,6.288561807,6.110592783,12.89373742,0.061731997,0.109115177,0.074148412,0.035184429,-0.467698602,16.54415852,16.07645992,-2.830971187,5.664296254,-1.597040425,4.067255829,2425.6,41.22245591,66.87371598,97.03813793,4.596494699,0.053651665,20.76399713,14.62310508,4.561485731,0.319241615,86.85538914,87.54715273,99.16833465,15.95666027,4.576643446,0.277900876,0.21,
2428.8,920,0,0.302855493,0.737158301,-2.325502117,1.040013794,0.29217951,0.716438527,-2.253581401,1.008618036,-3.055056208,0.68578923,0.082059229,-2.369266978,-2.960967425,0.665696524,0.079016071,-2.295270901,-5.568350808,0.816808957,0.29574509,-4.75154185,-7.288171386,1.710928334,0.716631262,-5.577243053,3.093824017,1206.785565,1209.879389,0.002544538,-0.434302808,-0.424259017,-3.740845439,-3.626663949,-6.385159765,-8.99909972,9.636221899,6.708900321,7.919894065,16.37957666,7.624829138,6.489788748,6.277406314,12.99797306,0.061605686,0.108308201,0.075048065,0.036337907,0.094131938,16.34435821,16.43849015,1.177948071,6.226126794,-1.79684073,4.429286064,2428.8,41.94351574,64.12962818,96.94255409,4.552593548,0.079810659,20.78104538,14.71932136,4.580481219,0.350249311,85.37518332,87.5846716,99.10783925,14.91188108,4.57069515,0.339285671,0.21,
