time,cycle number,marker,delc_var_det1_HbO2,delc_var_det1_HHb,delc_var_det1_ox-redCCO,delc_var_det1_HbT,delc_INvar_det1_HbO2,delc_INvar_det1_HHb,delc_INvar_det1_ox-redCCO,delc_INvar_det1_HbT,delc_var_det2_HbO2,delc_var_det2_HHb,delc_var_det2_ox-redCCO,delc_var_det2_HbT,delc_INvar_det2_HbO2,delc_INvar_det2_HHb,delc_INvar_det2_ox-redCCO,delc_INvar_det2_HbT,delc_INvar_det3_HbO2,delc_INvar_det3_HHb,delc_INvar_det3_ox-redCCO,delc_INvar_det3_HbT,delc_INvar_det4_HbO2,delc_INvar_det4_HHb,delc_INvar_det4_ox-redCCO,delc_INvar_det4_HbT,SRS kHbO2,SRS kHHb,SRS kHbT,SRS TOI,delc_var_det1_Hbdiff,delc_INvar_det1_Hbdiff,delc_var_det2_Hbdiff,delc_INvar_det2_Hbdiff,delc_INvar_det3_Hbdiff,delc_INvar_det4_Hbdiff,DPF 690,DPF 750,DPF 790,DPF 850,Us 690,Us 750,Us 790,Us 850,Ua 690,Ua 750,Ua 790,Ua 850,MDFD_abs_C_HbO2,MDFD_abs_C_HHb,MDFD_abs_C_HbT,MDFD_StO2,MDFD_delta_C_HbO2,MDFD_delta_C_HHb,MDFD_delta_C_HbT,time (s),TCD mean velocity,TCD mean BP,TCD mean SpO2,TCD mean maxCO2,TCD mean minCO2,TF mean maxO2,TF mean minO2,TF mean maxCO2,TF mean minCO2,HR (bpm),HR ,SpO2 ,CO2 - ET ,CO2 - MIN ,TV - TV - 61664 ,TV - TV - 61665 ,MINVOL - MINVOL - 20812 ,MINVOL - MINVOL - 20816 ,O2 - INSP ,O2 - ET ,end challenge
982.4,313,0,1.342149218,2.72972512,-0.244426507,4.071874338,1.342149218,2.72972512,-0.244426507,4.071874338,2.193524983,2.790457254,0.090417177,4.983982236,2.193524983,2.790457254,0.090417177,4.983982236,3.953383691,2.992195028,-0.042563222,6.94557872,5.941439115,3.14108892,-0.113239091,9.082528034,68.01418223,33.08193079,101.096113,0.672767577,-1.387575903,-1.387575903,-0.596932271,-0.596932271,0.961188663,2.800350195,8.14009029,8.078331573,7.66453845,8.725906751,11.34586593,11.36737168,8.82121566,9.248792781,0.128422399,0.130641191,0.112621149,0.091101593,11.13459771,25.33887283,36.47347054,30.52787356,30.74450168,22.13702481,52.88152649,982.4,63.96601637,80.33715865,98.5168014,5.136312528,0.166228316,20.18832437,13.54211128,4.769639788,0.139827781,58.39832568,77.99113877,95.1006599,5.100762688,-3.98877E-05,2519.957592,2509.925826,11.49993993,12.69993247,20.00052237,11.99893112,
985.6,314,0,0.908903881,2.579776234,-0.316225784,3.488680115,0.908903881,2.579776234,-0.316225784,3.488680115,1.649613632,2.556970734,0.028241378,4.206584366,1.649613632,2.556970734,0.028241378,4.206584366,3.419946222,2.55860587,-0.024122004,5.978552092,5.182075447,2.463147263,0.011839741,7.64522271,67.39592113,32.58163425,99.97755538,0.674069707,-1.670872353,-1.670872353,-0.907357102,-0.907357102,0.861340352,2.718928184,8.243935672,8.248905335,8.194976233,8.296910678,11.34559848,11.49889544,9.409976115,8.838192386,0.125250857,0.12678468,0.105218204,0.096390255,12.17230977,24.15229459,36.32460437,33.52015847,31.78221375,20.95044657,52.73266032,985.6,65.61986632,81.17864081,98.67255592,5.125015444,0.170620852,20.1666059,13.68713875,4.770457654,0.129278461,78.43490917,79.26422632,95.1249168,4.860596738,0.064746697,2528.558474,2519.015822,11.49929688,12.66187455,20.00066082,12.69703416,
988.8,315,0,1.112227383,2.632876547,-0.328981693,3.74510393,1.112227383,2.632876547,-0.328981693,3.74510393,1.847799491,2.589473415,0.015130528,4.437272907,1.847799491,2.589473415,0.015130528,4.437272907,3.797300494,2.567937133,-0.01732108,6.365237627,5.637398419,2.444685612,0.053292191,8.082084031,66.68656215,32.46350597,99.15006812,0.672535083,-1.520649163,-1.520649163,-0.741673924,-0.741673924,1.229363361,3.192712808,8.253014149,8.240245894,8.459664134,8.221539963,11.27832492,11.47800187,9.723407237,8.758819424,0.12421945,0.126809628,0.101768598,0.09724053,12.03834718,23.95939582,35.99774299,33.41386897,31.64825115,20.75754779,52.40579894,988.8,65.75213099,79.73926985,98.65952904,5.149723429,0.161107213,20.18673153,13.83985791,4.770336504,0.117210333,84.25880449,79.78033648,95.5494529,4.764479603,0.14782596,2397.144439,2400.221302,11.50955315,12.64850248,19.99913174,13.16552079,
992,316,0,1.787199853,2.746560848,-0.274838642,4.533760701,1.787199853,2.746560848,-0.274838642,4.533760701,2.657071111,2.781149186,0.025634931,5.438220297,2.657071111,2.781149186,0.025634931,5.438220297,4.858997667,2.83641592,-0.018853077,7.695413588,7.028966411,2.800395763,0.03224248,9.829362174,65.92214307,32.78570377,98.70784684,0.667812322,-0.959360995,-0.959360995,-0.124078075,-0.124078075,2.022581747,4.228570648,8.161858887,8.116048722,8.452295632,8.417588513,11.1346096,11.34881954,9.741639123,8.923882947,0.125406175,0.129242454,0.102213924,0.094549521,11.0080641,24.58154579,35.58960989,30.90048112,30.61796807,21.37969777,51.99766584,992,66.01697965,78.13844274,98.57117495,5.195802464,0.128385813,20.21803997,13.94993607,4.781310487,0.104795754,81.16538495,78.79999145,96.20906953,4.786815335,0.207432747,2169.8486,2191.753473,11.57645824,12.67571144,19.99859216,13.47916148,
995.2,317,0,2.251907807,2.699079267,-0.213511669,4.950987074,2.251907807,2.699079267,-0.213511669,4.950987074,3.314896469,2.844684223,0.01883079,6.159580692,3.314896469,2.844684223,0.01883079,6.159580692,5.654074981,2.894069476,-0.015736573,8.548144457,8.079513869,2.792979373,0.053378149,10.87249324,65.12467831,33.19479315,98.31947145,0.662276175,-0.447171459,-0.447171459,0.470212246,0.470212246,2.760005506,5.286534496,8.055551731,8.041573654,8.325184949,8.564847271,10.99727728,11.24640391,9.607390295,9.023658096,0.127152115,0.130456649,0.104070113,0.09224173,10.24452781,25.15084645,35.39537426,28.96318683,29.85443178,21.94899843,51.8034302,995.2,67.51871423,79.49942793,98.62472702,5.213623942,0.080046251,20.20698264,13.99007364,4.810774522,0.092705317,80.91557198,77.23630226,96.63611916,4.81053366,0.200292262,2039.452029,2071.856845,11.66245578,12.64787941,20.00138701,13.78547181,
998.4,318,0,2.213257414,2.562662521,-0.220603747,4.775919935,2.213257414,2.562662521,-0.220603747,4.775919935,3.394516715,2.691740044,0.014461002,6.086256759,3.394516715,2.691740044,0.014461002,6.086256759,5.751987542,2.667423973,-0.010040282,8.419411516,8.148156486,2.315810988,0.1601825,10.46396747,64.4082704,33.19670971,97.60498012,0.659735889,-0.349405107,-0.349405107,0.702776671,0.702776671,3.084563569,5.832345498,8.038906292,8.058027575,8.163804653,8.572046132,10.98888924,11.23555287,9.408750191,8.989223908,0.127613867,0.129865601,0.105980578,0.091714326,10.29993098,25.20204322,35.5019742,29.0539227,29.90983496,22.0001952,51.91003015,998.4,68.08371396,82.78524188,98.83226316,5.181360563,0.041856467,20.17093819,14.02307507,4.84139171,0.077758562,83.21952506,77.5988324,96.70429084,4.802466986,0.151469316,2135.608433,2162.447179,11.61092714,12.41535258,20.00291532,14.02037117,
1001.6,319,0,1.989695437,2.508378059,-0.304670027,4.498073496,1.989695437,2.508378059,-0.304670027,4.498073496,3.155050483,2.428313817,0.045819959,5.5833643,3.155050483,2.428313817,0.045819959,5.5833643,5.522309745,2.421922867,-0.021918657,7.944232612,7.702838658,1.902657602,0.253862857,9.60549626,64.18859255,32.54260525,96.7311978,0.66344571,-0.518682623,-0.518682623,0.726736666,0.726736666,3.100386878,5.800181056,8.140842245,8.114164188,8.008783304,8.587044494,11.12941682,11.31175061,9.201466994,8.997630714,0.12610187,0.128968661,0.107535972,0.091542043,10.76478422,24.85520581,35.61999003,30.26841725,30.37468819,21.65335779,52.02804598,1001.6,66.63140941,84.7496979,98.98293071,5.131479946,0.034041956,20.18112547,14.11054467,4.84774133,0.057525359,82.2721488,80.51777297,96.74450917,4.816587592,0.109174216,2364.992528,2369.87468,11.41288409,12.04314743,19.99790524,14.07117648,
1004.8,320,0,1.864679664,2.426114757,-0.392714168,4.290794421,1.864679664,2.426114757,-0.392714168,4.290794421,2.928814215,2.127774261,0.082843667,5.056588476,2.928814215,2.127774261,0.082843667,5.056588476,5.291896968,2.219234135,-0.051616346,7.511131103,7.282017642,1.810352022,0.220522046,9.092369664,64.75580382,31.38044947,96.13625329,0.67340144,-0.561435094,-0.561435094,0.801039954,0.801039954,3.072662833,5.471665621,8.276191684,8.161056722,7.985882282,8.648419917,11.28130792,11.3933439,9.130695651,9.090492377,0.123644503,0.128374877,0.107280183,0.091198247,11.04300031,24.40522245,35.44822276,31.19530166,30.65290428,21.20337442,51.85627871,1004.8,66.12508661,85.35695452,98.9390885,5.105961502,0.04931073,20.2512887,14.21750875,4.827735896,0.03808894,79.6431324,83.00364837,97.08426771,4.870699619,0.073466261,2473.159644,2451.244866,11.4050816,11.84519499,19.99410417,14.00298654,
1008,321,0,1.702818005,2.094017996,-0.405237201,3.796836001,1.702818005,2.094017996,-0.405237201,3.796836001,2.660506378,1.815078955,0.075204921,4.475585333,2.660506378,1.815078955,0.075204921,4.475585333,4.913117606,1.898651208,-0.0631425,6.811768814,6.826482222,1.716080388,0.096799204,8.54256261,65.64893746,30.27088135,95.91981881,0.684100735,-0.391199991,-0.391199991,0.845427423,0.845427423,3.014466398,5.110401834,8.338078946,8.135218251,8.191649358,8.635940357,11.30857463,11.32235171,9.303718236,9.106609771,0.121974433,0.12833744,0.104052888,0.091595989,10.91815516,24.12591313,35.04406829,31.18048604,30.52805913,20.92406511,51.45212424,1008,68.6008882,87.11421347,98.78656546,5.104897017,0.066336954,20.299672,14.28209782,4.800426591,0.032100033,80.19439588,82.34303725,97.66183159,4.911315358,0.025227932,2296.409127,2274.342845,11.91779146,12.0182945,20.00289324,13.95856716,
1011.2,322,0,1.344438963,1.615434374,-0.327059328,2.959873337,1.344438963,1.615434374,-0.327059328,2.959873337,2.23658955,1.581719043,0.042800582,3.818308593,2.23658955,1.581719043,0.042800582,3.818308593,4.289811835,1.513600851,-0.030141726,5.803412686,6.210886879,1.383725961,0.01843359,7.59461284,66.05519446,30.00552082,96.06071529,0.687323395,-0.27099541,-0.27099541,0.654870507,0.654870507,2.776210983,4.827160918,8.296975607,8.012966051,8.46151366,8.560104194,11.21232113,11.08221476,9.557137096,9.018438614,0.122070791,0.129430025,0.100160445,0.092294161,10.44971817,24.24052899,34.69024716,30.15115723,30.05962214,21.03868097,51.09830311,1011.2,70.71386893,89.43196821,98.69815512,5.097764444,0.081292844,20.25073245,14.32535461,4.778245768,0.045358706,82.87361639,80.19275028,98.15530912,4.891365261,-0.009274686,1966.252346,1986.062616,12.7537829,12.39708871,20.01168037,13.98405044,
