time,cycle number,marker,delc_var_det1_HbO2,delc_var_det1_HHb,delc_var_det1_ox-redCCO,delc_var_det1_HbT,delc_INvar_det1_HbO2,delc_INvar_det1_HHb,delc_INvar_det1_ox-redCCO,delc_INvar_det1_HbT,delc_var_det2_HbO2,delc_var_det2_HHb,delc_var_det2_ox-redCCO,delc_var_det2_HbT,delc_INvar_det2_HbO2,delc_INvar_det2_HHb,delc_INvar_det2_ox-redCCO,delc_INvar_det2_HbT,delc_INvar_det3_HbO2,delc_INvar_det3_HHb,delc_INvar_det3_ox-redCCO,delc_INvar_det3_HbT,delc_INvar_det4_HbO2,delc_INvar_det4_HHb,delc_INvar_det4_ox-redCCO,delc_INvar_det4_HbT,SRS kHbO2,SRS kHHb,SRS kHbT,SRS TOI,delc_var_det1_Hbdiff,delc_INvar_det1_Hbdiff,delc_var_det2_Hbdiff,delc_INvar_det2_Hbdiff,delc_INvar_det3_Hbdiff,delc_INvar_det4_Hbdiff,DPF 690,DPF 750,DPF 790,DPF 850,Us 690,Us 750,Us 790,Us 850,Ua 690,Ua 750,Ua 790,Ua 850,MDFD_abs_C_HbO2,MDFD_abs_C_HHb,MDFD_abs_C_HbT,MDFD_StO2,MDFD_delta_C_HbO2,MDFD_delta_C_HHb,MDFD_delta_C_HbT,time (s),TCD mean velocity,TCD mean BP,TCD mean SpO2,TCD mean maxCO2,TCD mean minCO2,TF mean maxO2,TF mean minO2,TF mean maxCO2,TF mean minCO2,HR (bpm),HR ,SpO2 ,CO2 - ET ,TV - TV - 61664 ,TV - TV - 61665 ,MINVOL - MINVOL - 20812 ,MINVOL - MINVOL - 20816 ,O2 - INSP ,O2 - ET ,end challenge
12.8,7,0,0.400641044,-0.218910255,0.149813785,0.181730789,0.412678799,-0.2254929,0.154318017,0.187185898,0.692369765,-0.363548774,0.136507792,0.328820991,0.713168255,-0.374459271,0.140607752,0.338708983,0.939985431,-0.206737335,0.009031439,0.733248096,0.737271696,-0.086145854,0.057442246,0.651125842,126.1306628,140.4681588,266.5988216,0.473110353,0.619551298,0.638171699,1.055918539,1.087627526,1.146722766,0.82341755,6.946172476,6.123778719,7.557787832,7.442419472,11.0275554,10.08829929,9.737005365,10.05406615,0.171416921,0.201762957,0.127848832,0.136134262,19.30942201,35.20940975,54.51883176,35.41929685,-2.194256718,0.339130572,-1.855126146,16,77.67630717,86.13409209,100.4441713,5.964589184,0.011705297,20.13905806,14.07491495,5.617376189,0.000105044,87.34114272,86.76296312,99.99995985,5.29997284,879.9848486,830.1974492,9.600534813,9.699995592,20.0000513,15.00014735,
16,8,0,0.497500377,-0.35658467,0.137809859,0.140915707,0.49907155,-0.357924111,0.138258619,0.14114744,0.752135547,-0.445067409,0.11982629,0.307068138,0.757297792,-0.446844346,0.119498407,0.310453446,0.922429619,-0.241468064,0.019947858,0.680961555,0.6792473,-0.105120943,0.05523981,0.574126357,127.693851,138.0816003,265.7754513,0.480451977,0.854085047,0.856995661,1.197202955,1.204142138,1.163897683,0.784368243,8.211534329,5.972922995,7.389429769,7.118951498,12.93772483,9.863252521,9.541951376,9.589348454,0.145951611,0.207415497,0.131153119,0.142311567,26.26851597,30.65588652,56.92440249,46.00294692,4.764837247,-4.214392657,0.550444591,19.2,73.36888527,85.11967742,100.1919554,5.93248398,0.018563408,20.15555321,13.91871721,5.737051084,0.076173285,83.98155507,82.14291027,99.9997697,5.262585007,559.4569559,656.4982393,8.671225316,8.982149367,19.99990055,14.68043126,
19.2,9,0,0.631069344,-0.584869783,0.205172807,0.046199561,0.627124729,-0.584502769,0.20411714,0.04262196,0.878558659,-0.533120869,0.128634065,0.345437791,0.875234236,-0.53108815,0.126765966,0.344146086,1.034854385,-0.341031846,0.042218926,0.69382254,0.755375978,-0.178891648,0.073006942,0.576484329,129.1950662,137.1385233,266.3335895,0.48506602,1.215939127,1.211627498,1.411679528,1.406322386,1.375886231,0.934267626,8.936884126,5.988325931,7.30792291,6.880657303,13.98868642,9.894230437,9.481809784,9.300005296,0.130942598,0.20694701,0.133203281,0.147620339,30.94913997,27.5274405,58.47658047,53.03917539,9.445461243,-7.342838677,2.102622566,22.4,71.71186785,84.45638925,99.89109152,5.854031071,0.026302347,20.14633076,13.97842088,5.777106816,0.115934041,81.54066966,80.74711562,99.99984739,5.410063829,542.4752539,728.325608,8.440036272,8.579292975,19.99988488,14.23087041,
22.4,10,0,0.742185826,-0.782135908,0.292406176,-0.039950082,0.742053983,-0.786395285,0.29352085,-0.044341302,1.013517489,-0.580836085,0.12588779,0.432681404,1.013958162,-0.581913239,0.125582815,0.432044923,1.152111435,-0.462718593,0.072143122,0.689392842,0.891651577,-0.302968162,0.089622942,0.588683415,130.2731064,137.5905524,267.8636588,0.486331525,1.524321733,1.528449269,1.594353574,1.595871402,1.614830028,1.194619739,8.995968909,6.026142373,7.344905832,6.87057828,14.03744698,9.960700993,9.564341726,9.346563832,0.129305787,0.205771339,0.132980461,0.148651683,31.52862276,27.07423126,58.60285402,53.88021779,10.02494403,-7.796047921,2.228896112,25.6,70.60564625,83.62720173,99.77422664,5.745230888,0.034270152,20.12117324,14.27241931,5.711584033,0.121532455,77.49152945,82.07746497,100.0003473,5.583038029,758.5768601,867.134362,8.818354219,8.689390232,20.00016724,13.9492789,
25.6,11,0,0.74219343,-0.77890783,0.295269012,-0.0367144,0.751842929,-0.790303711,0.299815164,-0.038460781,1.023394742,-0.532802658,0.080564269,0.490592084,1.035437785,-0.539355223,0.082186228,0.496082562,1.083120724,-0.503659295,0.088607426,0.579461429,0.900790407,-0.405771692,0.079738035,0.495018715,130.5085232,138.3780193,268.8865425,0.485344867,1.52110126,1.54214664,1.5561974,1.574793008,1.586780019,1.306562099,8.528508165,5.903218702,7.433554937,7.087890324,13.34964639,9.776409193,9.653600736,9.646343245,0.13856481,0.210595354,0.131019651,0.144221642,28.08877358,29.50427617,57.59304974,48.65985442,6.58509485,-5.36600301,1.21909184,28.8,67.58779062,81.51908134,100.0076143,5.660007775,0.037910518,20.09925885,14.61713211,5.592557173,0.119457963,71.21704556,82.68063974,100.0004447,5.49223132,885.5756882,790.2113687,9.231607977,9.186127685,20.00024815,14.16223812,
28.8,12,0,0.673267423,-0.644004564,0.239339246,0.029262859,0.683689165,-0.653327425,0.24305734,0.03036174,0.914925845,-0.418813346,0.038754777,0.496112499,0.928683127,-0.424760811,0.039618889,0.503922316,0.924720751,-0.432518068,0.07157591,0.492202684,0.794212577,-0.417066804,0.055795748,0.377145773,130.0502373,138.981898,269.0321353,0.483352114,1.317271987,1.33701659,1.33373919,1.353443938,1.357238819,1.211279381,7.807141421,5.755888131,7.438713793,7.294998714,12.29232906,9.551947024,9.586981146,9.865649912,0.152717218,0.216259395,0.129922384,0.139000024,23.65807095,32.92131673,56.57938769,41.80267812,2.154392228,-1.948962445,0.205429783,32,64.87698691,78.1045298,100.3121011,5.621518027,0.032640451,20.07894029,14.81566079,5.50514882,0.123369038,67.46690139,80.28122629,99.99946439,5.17577434,770.3497069,569.2158015,9.411215707,9.675203919,19.99972866,14.69920323,
32,13,0,0.709060656,-0.601444805,0.244110636,0.107615851,0.699623528,-0.593309718,0.239990317,0.106313811,0.906764099,-0.350965373,0.055899361,0.555798726,0.897711112,-0.346370995,0.053270199,0.551340117,0.977501767,-0.339189816,0.035089885,0.63831195,0.836031279,-0.360468597,0.042686381,0.475562682,129.774925,139.8811437,269.6560688,0.481217794,1.310505461,1.292933246,1.257729471,1.244082107,1.316691583,1.196499876,7.32430414,5.823172343,7.292922185,7.27622157,11.54453476,9.67375602,9.34467332,9.785326796,0.161558808,0.214137139,0.131816075,0.138504087,22.24387562,34.33453318,56.5784088,39.36964815,0.740196892,-0.535745994,0.204450898,35.2,65.6505104,75.64287775,100.2877131,5.602005729,0.025489346,20.06310787,14.8378321,5.479511919,0.127906326,69.63605753,76.10208756,99.9990155,4.981606284,561.1690803,453.3372941,9.48410815,9.874231264,19.99948125,15.10865586,
35.2,14,0,0.931471257,-0.697980656,0.330988969,0.2334906,0.895025435,-0.670415484,0.317737937,0.224609951,1.144165379,-0.403178713,0.106861326,0.740986666,1.101960945,-0.386043449,0.101261646,0.715917496,1.285249653,-0.355138609,0.030986386,0.930111044,1.148663524,-0.350091796,0.045023563,0.798571728,130.5623554,141.3711191,271.9334746,0.480093441,1.629451913,1.565440918,1.547344093,1.488004393,1.640388262,1.49875532,7.456031294,6.030647678,7.112132683,7.065001645,11.71746936,10.03557461,9.111031307,9.501407768,0.15855081,0.207160673,0.135088094,0.142887988,24.76428162,32.84181472,57.60609634,42.87400588,3.260602896,-2.028464458,1.232138438,38.4,68.50736172,76.67874992,99.9620054,5.561399997,0.035753532,20.07850732,14.80738102,5.463742376,0.12862711,74.11043565,72.96397558,100.000811,5.097802942,443.6173234,465.894924,9.477885705,9.77835789,20.00041916,15.16428792,
38.4,15,0,1.1951461,-0.769929826,0.386367347,0.425216274,1.154633477,-0.742990533,0.372353261,0.411642944,1.444868773,-0.529725553,0.127804707,0.915143219,1.394986416,-0.51158258,0.122738384,0.883403836,1.523892575,-0.516091913,0.090157214,1.007800661,1.448018606,-0.452020212,0.060787734,0.995998394,132.442517,142.4004729,274.8429899,0.481848892,1.965075927,1.897624011,1.974594326,1.906568996,2.039984488,1.900038819,7.93475942,6.104926453,7.096650951,6.849914288,12.48523871,10.1813915,9.110466222,9.236374796,0.149953216,0.204885314,0.135676238,0.147816015,27.95925962,30.74845074,58.70771036,47.44864287,6.455580899,-4.121828443,2.333752456,41.6,69.89908224,80.4154624,99.71876885,5.487489508,0.071927492,20.12629061,14.83446638,5.400588666,0.128726143,75.54817123,72.21712349,100.0020395,5.342094824,432.9311921,458.0368496,9.222304422,9.448670396,20.00105751,14.94216663,
41.6,16,0,1.316055368,-0.73788319,0.336277578,0.578172178,1.30107122,-0.732861184,0.331137836,0.568210036,1.547528405,-0.623780913,0.105196682,0.923747492,1.526069128,-0.61817423,0.103373441,0.907894898,1.480125429,-0.700437469,0.167401498,0.77968796,1.429811752,-0.576145783,0.090650114,0.853665969,134.5065187,141.4519681,275.9584868,0.487416436,2.053938558,2.033932403,2.171309318,2.144243358,2.180562898,2.005957535,8.124481135,6.006583678,7.272833705,6.769913887,12.84191371,10.00776435,9.344663656,9.135040825,0.147310071,0.208008093,0.132647289,0.149646688,28.45895352,30.45504166,58.91399518,48.11273873,6.955274791,-4.415237517,2.540037274,44.8,69.90366887,83.31084988,99.77911647,5.402312757,0.113996617,20.14698491,14.90437888,5.306421809,0.129009584,74.41584967,73.08301216,99.99883415,5.458681644,466.2580464,411.0834634,8.750998177,8.940145077,19.99939899,14.65194525,
