time,cycle number,marker,delc_var_det1_HbO2,delc_var_det1_HHb,delc_var_det1_ox-redCCO,delc_var_det1_HbT,delc_INvar_det1_HbO2,delc_INvar_det1_HHb,delc_INvar_det1_ox-redCCO,delc_INvar_det1_HbT,delc_var_det2_HbO2,delc_var_det2_HHb,delc_var_det2_ox-redCCO,delc_var_det2_HbT,delc_INvar_det2_HbO2,delc_INvar_det2_HHb,delc_INvar_det2_ox-redCCO,delc_INvar_det2_HbT,delc_INvar_det3_HbO2,delc_INvar_det3_HHb,delc_INvar_det3_ox-redCCO,delc_INvar_det3_HbT,delc_INvar_det4_HbO2,delc_INvar_det4_HHb,delc_INvar_det4_ox-redCCO,delc_INvar_det4_HbT,SRS kHbO2,SRS kHHb,SRS kHbT,SRS TOI,delc_var_det1_Hbdiff,delc_INvar_det1_Hbdiff,delc_var_det2_Hbdiff,delc_INvar_det2_Hbdiff,delc_INvar_det3_Hbdiff,delc_INvar_det4_Hbdiff,DPF 690,DPF 750,DPF 790,DPF 850,Us 690,Us 750,Us 790,Us 850,Ua 690,Ua 750,Ua 790,Ua 850,MDFD_abs_C_HbO2,MDFD_abs_C_HHb,MDFD_abs_C_HbT,MDFD_StO2,MDFD_delta_C_HbO2,MDFD_delta_C_HHb,MDFD_delta_C_HbT,time (s),TCD mean velocity,TCD mean BP,TCD mean SpO2,TCD mean maxCO2,TCD mean minCO2,TF mean maxO2,TF mean minO2,TF mean maxCO2,TF mean minCO2,HR (bpm),SpO2 ,CO2 - ET ,CO2 - MIN ,TV - TV - 61664 ,TV - TV - 61665 ,MINVOL - MINVOL - 20812 ,O2 - INSP ,O2 - ET ,end challenge
3.2,124,0,1.25906982,-0.003609655,0.219957462,1.255460165,1.25906982,-0.003609655,0.219957462,1.255460165,1.61221144,0.562994243,0.021818697,2.175205682,1.61221144,0.562994243,0.021818697,2.175205682,2.158201968,0.551731471,0.007807805,2.709933439,2.717784584,0.911377842,-0.099886379,3.629162426,61.73829359,36.0390462,97.77733979,0.631416794,1.262679476,1.262679476,1.049217197,1.049217197,1.606470497,1.806406742,28.58025736,-9.23728E-05,28.66724358,-6.87769E-05,55.5716578,1.914946401,32.59881758,24.31302379,0.05102473,-0.085173507,0.02975339,-0.001273686,-15.26700993,1.871980726,-13.39502921,113.9765082,0.076867956,-0.246697571,-0.169829614,3.2,79.47174429,-1.72609E-25,100.0227576,3.14428E-05,1.49396E-05,-8.54951E-05,14.05455071,5.279977463,4.92698E-07,-1.07523E-25,98.09978036,5.412439923,0.199950922,1410.030202,1480.028291,6.600012251,20.00027932,12.99997397,
6.4,125,0,1.096041996,-0.25225346,0.509720305,0.843788536,1.096041996,-0.25225346,0.509720305,0.843788536,1.894807853,0.082735292,0.2558525,1.977543146,1.894807853,0.082735292,0.2558525,1.977543146,2.53505351,0.207405546,0.161197393,2.742459056,3.072941628,0.694161023,0.116550485,3.767102651,59.81246957,37.54411711,97.35658667,0.614317224,1.348295456,1.348295456,1.812072561,1.812072561,2.327647964,2.378780605,30.26650277,-0.59153258,30.2685294,-0.561504686,59.29304848,1.3231313,34.29437469,25.27038283,0.045452622,-0.104586863,0.023497112,-0.009245174,-17.61631698,-0.034105242,-17.65042223,115.1902289,-2.272439094,-2.152783539,-4.425222633,6.4,69.17443649,-2.58434E-25,99.48850189,2.913273127,-0.007669818,-1.722001205,14.55010815,5.142917141,-0.01997941,-2.07772E-25,97.93709528,5.507008853,0.219667103,1486.221209,1616.283019,6.603995473,20.00464062,12.87919268,
9.6,126,0,0.735039177,-0.430264742,0.58595232,0.304774435,0.735039177,-0.430264742,0.58595232,0.304774435,1.614362637,-0.17858178,0.323917864,1.435780857,1.614362637,-0.17858178,0.323917864,1.435780857,2.240350909,-0.151045366,0.25593296,2.089305543,2.691100141,0.500224843,0.176188767,3.191324985,58.92771791,37.6872008,96.61491872,0.609895559,1.165303919,1.165303919,1.792944417,1.792944417,2.391396275,2.190875298,24.11661429,1.85183467,24.11359851,1.916270452,45.86587193,3.787742302,27.51365471,21.01127792,0.067356205,-0.044822428,0.04840786,0.022464544,-8.168010214,6.045537713,-2.122472502,94.50079844,7.175867676,3.926859416,11.10272709,9.6,66.06002134,2.79627E-25,99.60540007,4.970065768,0.030987938,2.401017417,14.90771501,5.044841522,0.007593494,1.65692E-25,98.03157418,5.512915215,0.27072108,1451.590339,1486.73593,6.688332545,19.99642262,12.97344537,
12.8,127,0,0.250346116,-0.572012959,0.509648741,-0.321666843,0.250346116,-0.572012959,0.509648741,-0.321666843,0.927700808,-0.31704908,0.288214687,0.610651728,0.927700808,-0.31704908,0.288214687,0.610651728,1.44654325,-0.50240641,0.288381126,0.944136839,1.772016315,0.182276374,0.130504888,1.954292689,58.96642245,37.28380511,96.25022756,0.612569495,0.822359075,0.822359075,1.244749887,1.244749887,1.94894966,1.58973994,13.27693178,6.121545472,13.27437453,6.157213387,22.01748282,8.047837717,15.56359705,13.37635816,0.103989549,0.062747576,0.091572186,0.078715927,8.826150896,16.57990623,25.40605712,61.4523988,24.17002879,14.46122793,38.63125672,12.8,69.13702506,5.39701E-25,100.3082364,5.789132143,0.076065027,11.36891168,15.07998098,4.994236827,0.078373458,4.23166E-25,98.22630964,5.441226542,0.322656766,1210.509816,1011.254766,6.758168653,19.99205902,13.30459262,
16,128,0,-0.205836466,-0.748858671,0.452034755,-0.954695137,-0.205836466,-0.748858671,0.452034755,-0.954695137,0.275992244,-0.565172459,0.295730906,-0.289180215,0.275992244,-0.565172459,0.295730906,-0.289180215,0.654336731,-0.827420439,0.288289316,-0.173083708,0.879744206,-0.379894898,0.12061234,0.499849308,59.18501168,37.58413967,96.76915135,0.611535651,0.543022205,0.543022205,0.841164703,0.841164703,1.48175717,1.259639104,6.739778446,8.747248058,6.61399817,8.69956117,7.366098774,10.62743638,8.153364687,8.368428588,0.12310558,0.128741046,0.117267105,0.114047847,19.96982126,22.39539238,42.36521364,42.02453443,35.31369915,20.27671408,55.59041324,16,71.97108115,-4.31019E-25,100.9296661,5.718280854,0.067244473,19.00976396,15.11718626,4.975200115,0.134016599,-2.36628E-25,98.20910138,5.366556764,0.31373634,854.2995974,485.5812281,6.696540513,20.00757728,13.68564171,
19.2,129,0,-0.598548325,-0.946831899,0.424023048,-1.545380223,-0.598548325,-0.946831899,0.424023048,-1.545380223,-0.237949426,-0.910124623,0.336797563,-1.148074048,-0.237949426,-0.910124623,0.336797563,-1.148074048,-0.005659204,-1.100876312,0.264917151,-1.106535516,0.144430523,-0.988960632,0.150343651,-0.844530109,59.34370917,37.96101703,97.3047262,0.609752682,0.348283574,0.348283574,0.672175197,0.672175197,1.095217108,1.133391155,7.081534895,8.717676947,6.758024346,8.66401417,7.817163375,10.59005552,8.252863168,8.2342648,0.118530377,0.127188615,0.115805352,0.113610588,20.39750432,21.51069358,41.9081979,42.88807738,35.74138221,19.39201529,55.13339749,19.2,71.11075139,-1.09931E-24,100.960267,5.465007181,0.039776471,21.45627861,15.1070418,4.971395361,0.132760534,-8.43544E-25,98.01967979,5.307833644,0.23783524,638.952183,354.6143238,6.572066919,20.01583719,13.98159442,
22.4,130,0,-0.872149587,-1.081129375,0.342202827,-1.953278962,-0.872149587,-1.081129375,0.342202827,-1.953278962,-0.648355698,-1.103574474,0.302212462,-1.751930172,-0.648355698,-1.103574474,0.302212462,-1.751930172,-0.517886669,-1.250442837,0.210516946,-1.768329506,-0.448883637,-1.278679858,0.118464017,-1.727563495,59.64627145,37.18102261,96.82729406,0.615763346,0.208979787,0.208979787,0.455218776,0.455218776,0.732556168,0.829796222,9.21537396,7.959504855,8.833873935,8.000841195,12.5242298,9.83364814,10.50936684,9.864174639,0.111308493,0.105870347,0.106969402,0.101540267,16.65101057,19.50744516,36.15845573,48.22696295,31.99488846,17.38876687,49.38365533,22.4,68.5923954,6.15819E-25,100.5087233,5.410999485,0.09253247,20.48464965,15.11181782,4.972991821,0.116868957,2.94499E-25,97.98017959,5.213176077,0.15655242,658.4121265,661.595218,6.535949949,19.98681445,14.29979388,
25.6,131,0,-0.933590271,-1.113722229,0.228524847,-2.0473125,-0.933590271,-1.113722229,0.228524847,-2.0473125,-0.840531235,-1.03245343,0.190552908,-1.872984665,-0.840531235,-1.03245343,0.190552908,-1.872984665,-0.710584301,-1.232924989,0.144227336,-1.94350929,-0.707178479,-1.167382819,0.018508889,-1.874561298,59.96927353,35.6292552,95.59852874,0.626729934,0.180131957,0.180131957,0.191922195,0.191922195,0.522340688,0.460204339,9.121428173,8.006084707,8.90163248,8.08429879,12.57317105,9.745103711,10.45829173,10.11753353,0.11438751,0.102465325,0.105358817,0.099109304,15.0804242,19.98096867,35.06139287,46.29018236,30.42430209,17.86229037,48.28659246,25.6,67.54974929,2.19158E-24,100.019228,5.471094697,0.243169863,19.58223263,15.12490358,4.97595014,0.171699702,1.64936E-24,98.18984519,5.076356644,0.108488611,745.8669489,994.9786541,6.594818927,19.96737982,14.73952104,
28.8,132,0,-0.884933598,-1.095744793,0.175263518,-1.980678391,-0.884933598,-1.095744793,0.175263518,-1.980678391,-0.833205108,-0.881002515,0.111433415,-1.714207623,-0.833205108,-0.881002515,0.111433415,-1.714207623,-0.640957361,-1.12936093,0.106870666,-1.770318291,-0.664126625,-0.946859682,-0.036921801,-1.610986307,59.93682059,34.54641711,94.48323769,0.633468382,0.210811196,0.210811196,0.047797407,0.047797407,0.488403569,0.282733057,7.944301405,8.453432983,7.914451522,8.451802749,10.10345673,9.920596187,9.126388746,9.276481944,0.119724857,0.108394172,0.106629597,0.102677428,15.3608513,21.13065973,36.49151103,41.35986704,30.70472919,19.01198143,49.71671062,28.8,68.44593731,-7.671E-25,99.77997912,5.515300187,0.393690279,19.66113182,15.05897743,4.995372315,0.317784048,-2.57661E-25,98.42375597,4.982741493,0.07174704,792.8046529,1062.872574,6.629276542,20.02415175,15.08447682,
32,133,0,-0.971237162,-1.071226977,0.183398049,-2.042464139,-0.971237162,-1.071226977,0.183398049,-2.042464139,-0.926070625,-0.861582179,0.122064872,-1.787652805,-0.926070625,-0.861582179,0.122064872,-1.787652805,-0.716532165,-1.062744814,0.111560907,-1.779276979,-0.770033629,-0.889382248,0.014747994,-1.659415877,59.65013544,34.15874355,93.808879,0.634934874,0.099989816,0.099989816,-0.064488446,-0.064488446,0.346212649,0.119348619,7.857910296,8.521904563,7.834909464,8.488350009,9.73722937,9.7881738,8.848539293,8.970915375,0.11810389,0.107120003,0.104424131,0.101970321,15.05010107,20.8243903,35.87449138,40.39087189,30.39397896,18.70571201,49.09969097,32,69.6746242,-4.28549E-24,99.79436424,5.587488864,0.458586129,19.71078132,14.82421533,5.064032315,0.486001559,-3.16716E-24,98.53054484,4.996064931,0.061010048,903.3335032,1003.268858,6.592788243,20.07241312,15.01578671,
